"id_album","nome"
"196","pov: you rock around the christmas tree"
"197","If I Ain't Got You (Acoustic)"
"198","Believe (Acoustic)"
"199","Iris (Acoustic)"
"200","Cheek to Cheek~I Love Cinemas~"
"201","Baby (Acoustic Version)"
"202","Land"
"203","I Like Me Better"
"204","Asan Ka Na Ba"
"205","drivers license"
"206","YES!"
"207","The Winner Takes It All (Acoustic)"
"208","Only Time"
"209","One Cell In The Sea"
"210","Dance Monkey"
"211","Dream a Little Dream of Me"
"212","Back For Good"
"213","OK"
"214","Just The Two Of Us"
"215","Arcade"
"216","Yellow"
"217","Wake Me Up"
"218","Walking Blind (feat. Carina Round)"
"219","Headphones"
"220","Teenage Dream"
"221","The Worth Of The Wait"
"222","Can't Help Falling In Love (Piano Version)"
"223","Austin Plaine"
"224","Love You To Death"
"225","Someone You Loved (Acoustic)"
"226","What a Wonderful World"
"227","You Broke Me First"
"228","Echos"
"229","Losing Sleep"
"230","The Meaning"
"231","Twelve: Fifty One (International Version)"
"232","リョウメンシダ/サンサーラ"
"233","1000 Years"
"234","Brand New"
"235","Guitar Instrumental Covers"
"236","Front Porch"
"237","Rogue Taxidermy"
"238","Cruising"
"239","Isn't She Lovely (Acoustic)"
"240","One Spring Night (Original Television Soundtrack), Pt. 4"
"241","Fix You (Acoustic)"
"242","I'm Yours (Acoustic)"
"243","A Sky Full of Stars"
"244","I Don't Believe in Satan"
"245","Let There Be Morning (Bonus Track Version)"
"246","he said. she said."
"247","Watermelon Sugar (Acoustic)"
"248","Say You Won't Let Go (Acoustic)"
"249","Call You Mine (Acoustic Piano)"
"250","In the Waiting"
"251","Three Flights From Alto Nido"
"252","Love Nwantiti"
"253","Stars Are on Your Side"
"254","Constellation Me"
"255","Cover Sessions, Vol. 5"
"256","KISSして"
"257","Binibini (Last Day On Earth)"
"258","Kosher"
"259","To Record Only Water For Ten Days (U.S. Version)"
"260","Hold On (Acoustic)"
"261","The Civil Wars"
"262","Good night"
"263","As You Are"
"264","#Covers"
"265","The Lotto"
"266","Rodrigo Y Gabriela"
"267","The Ladder"
"268","A Good Day"
"269","Big Love, Small Moments"
"270","I Never Loved Before I Found You"
"271","It's My Life"
"272","Pure Fiction"
"273","So Much More (Special Edition)"
"274","Songs from the Lowdown"
"275","Bridge City Sinners"
"276","Tape Deck Heart (Deluxe Edition)"
"277","Christmas Vibes But Not Christmas Songs"
"278","Mirrors (Acoustic)"
"279","10 Futures"
"280","Stay - Acoustic"
"281","マホロボシヤ"
"282","Oh What A Love"
"283","The Bright Side"
"284","I Won't Let You Down"
"285","Look For The Good"
"286","Stargazing"
"287","One Spring Night (Original Television Soundtrack), Pt. 3"
"288","Slow Down Time"
"289","Simply Acoustic"
"290","Love, Love, Love"
"291","Heat Waves (Acoustic)"
"292","ショッピング"
"293","If the World Was Ending (Acoustic)"
"294","残響"
"295","Acoustic Versions"
"296","Don't Wanna Leave You"
"297","Passenger Seat"
"298","Best Days"
"299","Phantom"
"300","Bluebird"
"301","Back to Home"
"302","SING A SONG"
"303","It'll Be Alright"
"304","Everybody"
"305","Kabilugan Ng Buwan"
"306","HELLO"
"307","だれそかれそ"
"308","August: Osage County (Original Motion Picture Soundtrack)"
"309","音タイム"
"310","IT'S ONLY LOVE"
"311","虹/ひまわり/それがすべてさ"
"312","Burn It All!"
"313","Onward (Original Motion Picture Soundtrack)"
"314","This Is Not for Children"
"315","No Man's Land"
"316","Dancing with the Curse"
"317","Heaven (Acoustic)"
"318","Days Gone (Original Soundtrack)"
"319","Asleep Among Endives"
"320","Symphony"
"321","Save Your Tears (Acoustic)"
"322","POP VIRUS"
"323","A.M."
"324","Autumn Breeze"
"325","Save Your Tears"
"326","You're Still The One (Acoustic)"
"327","Somebody Loved"
"328","Bohemian Rhapsody (Acoustic)"
"329","As It Was (Acoustic)"
"330","Wish List"
"331","Beautiful Disaster"
"332","Fake a smile"
"333","Momentary Sixth Sense"
"334","Irony"
"335","Bullet Train (Original Motion Picture Soundtrack)"
"336","No Matter Where You Are"
"337","The Walking in Between"
"338","Zee Avi's Nightlight"
"339","Here, Right Now"
"340","Wonderful Tonight"
"341","Twenty Something"
"342","Calling"
"343","Acoustic Duets"
"344","Particles"
"345","Shadows Collide With People"
"346","Daylight"
"347","Have Yourself a Merry Little Christmas"
"348","Message/今 このひとときが 遠い夢のように"
"349","Acoustic Hits, Vol. 3"
"350","#Acoustic #2"
"351","Folksinger"
"352","A Sphere in the Heart of Silence"
"353","West Coast vs. Wessex"
"354","Gossip In The Grain"
"355","Bacchanal 'N' Philadelphia"
"356","Crustfall"
"357","Unholy Hymns"
"358","Graveyard"
"359","amuletum bouquet"
"360","Highlights from Aoi Works II"
"361","Paradise"
"362","American Wedding"
"363","Oil & Water"
"364","2U (Acoustic Version)"
"365","Elephants...Teeth Sinking Into Heart (Standard Version)"
"366","I'll Say I Do"
"367","Anyone"
"368","In The Mood For Love"
"369","Heat Waves"
"370","There She Goes"
"371","Wells"
"372","God Only Knows"
"373","Afterglow"
"374","Montage Of Heck: The Home Recordings (Deluxe Soundtrack)"
"375","Just Love"
"376","オアシス"
"377","Never Be the Same"
"378","You and Me for Now"
"379","Us"
"380","Without a Light"
"381","Eastmountainsouth"
"382","A Face Like Mine"
"383","Bossa Best"
"384","Moanin' In The Moonlight"
"385","Feels Like Rain"
"386","The Best of Mance Lipscomb"
"387","Violent Femmes"
"388","The Oogle Deathmachine"
"389","Paano Ang Simbang Gabi (Kung 'Di Ka Katabi)"
"390","Have a Great Life."
"391","The Joy of Music"
"392","FTHC (Deluxe)"
"393","In These Silent Days"
"394","A Thousand Years (Acoustic)"
"395","2 Oceans"
"396","Golden Hour"
"397","Without Me"
"398","You & Me (The Wildfire)"
"399","Dancing With A Stranger"
"400","Pero"
"401","Good 4 U (Acoustic)"
"402","Here With Me (Acoustic)"
"403","Habang Buhay"
"404","More Than Gravity"
"405","Fade into You"
"406","東京にもあったんだ / 無敵のキミ"
"407","5年モノ"
"408","21 Guns"
"409","Running Up That Hill (A Deal With God) [Acoustic]"
"410","Build Me Up Buttercup"
"411","The Ghost and the Wall"
"412","vs.2013 ~知覚と快楽の螺旋~"
"413","Ysabelle"
"414","Waiting for My Rocket to Come"
"415","Hanap-Hanap"
"416","The Will To Death"
"417","Boulevard of Broken Dreams (Acoustic)"
"418","The Living Room Sessions Vol. 3"
"419","Finch"
"420","More Real Folk Blues"
"421","Acoustic Love"
"422","Saktong Akustik"
"423","This Little Light of Mine"
"424","GOOD LUCK TRACK"
"425","Christmas Island"
"426","Chill Out Covers - Chillout Covers - Chill Acoustic - Relaxing Songs - Calming Acoustic Songs"
"427","Bear Creek"
"428","Treehouse"
"429","Peaches (Acoustic)"
"430","You"
"431","Kris Allen"
"432","Somebody That I Used To Know"
"433","Lost Without You"
"434","HOME"
"435","you broke me first"
"436","Game of Thrones"
"437","CRAZYTALK"
"438","Back To You"
"439","何度でも花が咲くように私を生きよう"
"440","Before You Go"
"441","Young Love"
"442","We Were Here"
"443","SUPERMARKET"
"444","Missing Peace"
"445","聖域"
"446","Spotify Singles"
"447","Anime Songs #3"
"448","I Can't Make You Love Me"
"449","Cedar + Gold"
"450","Ash & Stone"
"451","COVER ALL HO!"
"452","想 -new love new world-"
"453","Last Christmas"
"454","Chapter Of The Forest"
"455","Ate Sandali"
"456","Hideaway"
"457","Sounds Like This"
"458","This City Isn't Big Enough"
"459","In Love With Bacharach"
"460","Ghost - Acoustic"
"461","4am"
"462","10,000 Hours (Acoustic)"
"463","No Air"
"464","Self Help"
"465","Blackbird Song"
"466","Easy On Me - Acoustic"
"467","Chasing Cars (Acoustic)"
"468","Can't Take My Eyes Off of You"
"469","Acoustic Sessions"
"470","Lot To Learn"
"471","Apologize"
"472","Ice Pickin'"
"473","Shotgun"
"474","HEY!"
"475","Have It All"
"476","Indiana"
"477","Kaleidoscope Heart"
"478","Remain"
"479","Tama Na"
"480","Guitar Covers, Vol. 2"
"481","陽水II センチメンタル (Remastered 2018)"
"482","Zee Avi"
"483","I Want to Know What Love Is (Acoustic)"
"484","日々のあわ"
"485","Ordinary Days"
"486","Neighbor"
"487","PEACE OUT"
"488","By The Way, I Forgive You"
"489","One Week Record"
"490","The Blueprint Sessions"
"491","Born Under A Bad Sign (Mono)"
"492","If We Go Down, We Will Go Together!"
"493","Chad Hates George"
"494","Positive Songs For Negative People"
"495","0"
"496","Careless Whisper"
"497","Look After You"
"498","Golden Covers, Vol. 2"
"499","When the Party's Over"
"500","Sound The Alarm"
"501","Photograph"
"502","Not Nearly Dark"
"503","Let's Stay Young"
"504","AKIRA"
"505","The Drifter and the Gypsy"
"506","I Wanna Be Your Ghost (feat. Ghosts)"
"507","約束の丘"
"508","Stranger Songs"
"509","Easy on Me"
"510","Ukulele Songs"
"511","Closer"
"512","One Last Breath"
"513","Classical Guitar Lullabies Volume 1"
"514","Lights Out"
"515","Jungle Blues"
"516","milk tea/美しき花"
"517","世界中の誰よりきっと"
"518","Georgica Pond"
"519","Coming Home: A Collection of Songs"
"520","Getting Ready... (World)"
"521","England Keep My Bones (Deluxe Edition)"
"522","Carencro"
"523","Pinocchio Pariah"
"524","Country Holiday"
"525","Happy Country Christmas"
"526","Over You (Deluxe Edition)"
"527","THATS WHAT I WANT (Acoustic)"
"528","Dynamite (Acoustic)"
"529","Hallelujah"
"530","Lovers & Fighters"
"531","ダブルドライブ"
"532","Matinée"
"533","Guitar Covers"
"534","深呼吸"
"535","MONOVISION"
"536","Heard that there's good pasta"
"537","The ""Hits"" | Acoustic"
"538","River Love"
"539","Acustic Covers of Popular Songs"
"540","Amidst the Chaos (Bonus Version)"
"541","Between The Bars (EP)"
"542","Plays the Blues for You (feat. Lucky Peterson, Titus Williams, Ray ""Killer"" Allison) [Blues Power]"
"543","Cover Songs, #1"
"544","youth"
"545","Serious"
"546","ROUTE to ROOTS"
"547","Curtains"
"548","Olly Olly"
"549","Regicide"
"550","Whole Again"
"551","Love Love Love"
"552","One Last Big Job"
"553","IX"
"554","The Best Of"
"555","Live the Dream"
"556","7 Inches of Hell"
"557","青春のエキサイトメント"
"558","FUSHIGI"
"559","Bad News Is Coming"
"560","I Mean Love"
"561","Miss You"
"562","Doraemon"
"563","Landslide"
"564","I'd Rather Be With You"
"565","Leave The Door Open (Acoustic)"
"566","Blue Bike"
"567","Use Somebody (Acoustic)"
"568","What About Us (Acoustic)"
"569","Ball n' Chain"
"570","Turn To Stone"
"571","Drawn by the Wind (Arr. for Guitar)"
"572","Animal Evolve"
"573","Memories (Acoustic)"
"574","A Matter of Time"
"575","Simple"
"576","Now That's What I Call Music 2012-13"
"577","Suitcase"
"578","Covers - Chill Covers Of Popular Songs"
"579","あの歌-2-"
"580","Without People"
"581","The Weakness In Me"
"582","Honey"
"583","A Million Miles Away"
"584","The Inevitable Train Wreck"
"585","Diamonds"
"586","Good People"
"587","Only God Can Judge Me and More"
"588","We Can Do Anything"
"589","The Great Depression"
"590","Songs We Recorded for Splits"
"591","The Gathering"
"592","YELLOW DANCER"
"593","Sweet but Psycho"
"594","I'm the One (Acoustic)"
"595","Horizons"
"596","黄金の月"
"597","It Would Be You"
"598","As It Was (Acoustic Instrumental)"
"599","Sweet Child O' Mine (Acoustic)"
"600","Beyond The Sea"
"601","Have I Told You Lately That I Love You (Acoustic)"
"602","The Soul"
"603","さくら (二〇一九)"
"604","Homeland"
"605","Covers & Co-writes"
"606","Covers EP"
"607","BREAK MY SILENCE"
"608","Sugar and Spite"
"609","What If We Rewrite The Stars"
"610","A Million Dreams (Acoustic)"
"611","Falling into your eyes Record"
"612","Paperweight by Joshua Radin and Schuyler Fisk"
"613","Meant to Be"
"614","Paasa"
"615","Up Until Now"
"616","あいのわ"
"617","Mush Acoustic Love Hits, Vol. 4"
"618","The Essential Little Walter"
"619","Catch Me If You Can"
"620","Leavetaking"
"621","Don't Think Twice, It's All Right (Acoustic)"
"622","Ward Off the Vultures"
"623","Straight to the Bottom: Back to the Bottom"
"624","The Bible 2"
"625","The Second Three Years"
"626","What We Want, What We Get"
"627","Pipe Dream"
"628","Bad News"
"629","All Too Well (Jake's Version)"
"630","Dilemma"
"631","Kiss Me"
"632","Searching for the Same Thing"
"633","All Falls Down"
"634","This Is Love"
"635","I Will Wait"
"636","Always Be My Baby"
"637","Jocelyn Flores (Acoustic Guitar)"
"638","Use Somebody (Acoustic Version)"
"639","As Long as You Love Me"
"640","Lead Balloon"
"641","Party of One (feat. Sam Smith)"
"642","HUMAN"
"643","純風"
"644","Evergreen"
"645","Earthling"
"646","The Howl"
"647","Art of Acoustic: Soft Instrumental Covers & Classical Guitar"
"648","Howlin' Wolf"
"649","Good Luck Everybody"
"650","A Johnnyswim Christmas"
"651","Chill Vibes - Just Chill & Relax - Relaxing Covers Songs - Chill Pop Music Hits - Chill Music - Chill Songs - Chilled - Chill Out Pop - Chillout Music - Best Chill Songs - Acoustic Chill"
"652","100 Greatest Christmas Songs Ever (Top Xmas Pop Hits)"
"653","Night Gaunts / Days N Daze Split"
"654","Enter The Danger Brigade"
"655","At War With The Silverfish"
"656","Feather River Canyon Blues"
"657","Horrorful"
"658","Skin Deep Deluxe Version"
"659","Queer As Folk"
"660","Stuck with U (Acoustic)"
"661","Yakap"
"662","Sunflower"
"663","Hollywood's Bleeding"
"664","Without You"
"665","E"
"666","Devon or Las Vegas"
"667","Moth To A Flame (Acoustic Instrumental)"
"668","Darkness Within"
"669","Ikaw Lamang"
"670","The Space Between Us (Original Motion Picture Soundtrack)"
"671","(I Just) Died In Your Arms [Acoustic]"
"672","Chicago Bound"
"673","化身"
"674","Future Throwback"
"675","Acoustic Lullaby"
"676","Afterglow (Stephan Baulig Remix)"
"677","To the Wind"
"678","When I'm With You"
"679","I've Got A Rock In My Sock"
"680","JOHNNYSWIM"
"681","Study Music - Música Para Estudiar - Study Session - Study Acoustic Music - Study Relaxing Music"
"682","Acoustic"
"683","Split EP"
"684","The Best Of Cannon's Jug Stompers"
"685","Chill Music - Chill Songs - Chill Vibes - Acoustic Chill - Chillout Lounge"
"686","Add It Up (1981-1993)"
"687","S.O.S. 2: Save Our Soul: Soul on a Mission"
"688","Honesty Lives Elsewhere"
"689","Mood (Acoustic)"
"690","Issues"
"691","Pink Sky Moon"
"692","Beautiful Girls"
"693","Something Beautiful"
"694","Right Here Waiting"
"695","Muniesa"
"696","Demo Love"
"697","With or Without You"
"698","深夜高速 -生きててよかったの集い-"
"699","She's The Song (Acoustic)"
"700","生きてることが辛いなら"
"701","LION"
"702","Life's What You Make It"
"703","Acoustic Guitar Covers, Vol. 3"
"704","Tenboom"
"705","伝言"
"706","帰ってから、歌いたくなってもいいようにと思ったのだ。"
"707","招待状のないショー"
"708","PLAY"
"709","Spark. Burn. Fade."
"710","Cried Like A Baby"
"711","Si Te Vas"
"712","To-Do Lists (Color Coded)"
"713","The Shreds"
"714","Miranda"
"715","Of Peace, Quiet and Monsters"
"716","Hallowed Ground"
"717","Wretched. Filthy. Ugly."
"718","The Essential Taj Mahal"
"719","Covering Ground"
"720","Songbook"
"721","Jireh (My Provider)"
"722","Ainda Há Tempo"
"723","Fellini"
"724","Nó na Orelha"
"725","Espiral de Ilusão"
"726","Sobre Viver"
"727","Terapia"
"728","Hola Chicuelos"
"729","ATO 1: Navio Pirata"
"730","Milonga de Ojos Dorados (Alfredo Zitarrosa) [Live on Pardelion Music]"
"731","Criolo E Emicida Ao Vivo (Live)"
"732","OXEAXEEXU"
"733","Duas Cidades"
"734","La Makinita"
"735","Viva Tim Maia"
"736","Madurar"
"737","Convoque Seu Buda"
"738","The Keyboard King at Studio One"
"739","Ahetuk"
"740","The Exciting Sounds of Menahan Street Band"
"741","Etérea"
"742","Cabeça de Papel"
"743","Invisível"
"744","Toma Tu Jabón Kapax"
"745","Fogo (Versão Estendida)"
"746","Mediterráneo"
"747","Futuro Dub"
"748","Forasteiro"
"749","Commercial"
"750","Nenhuma Dor"
"751","Povo Guerreiro"
"752","O Futuro Não Demora"
"753","MetaL MetaL"
"754","O Segundo Sol"
"755","Super Pop Venezuela"
"756","Just Outside Of Town"
"757","Tudo Que Move É Sagrado"
"758","Tasty + B Sides"
"759","Africa Rising Vol.3"
"760","Africa Rising Vol.4"
"761","Afrodance Anthems"
"762","Africa Rising Vol.1"
"763","Best Afrodance Tunes"
"764","Calle 13 (Explicit Version)"
"765","Enter The 37th Chamber"
"766","Ali & Toumani"
"767","Espiral de Ilusão - Deluxe Edition"
"768","Água (Versão Estendida)"
"769","Bailar en la cueva"
"770","Cool Love"
"771","Afrocidade na Pista"
"772","El Paradise"
"773","Los De Atrás Vienen Conmigo"
"774","OQuadro"
"775","Vox Populi, Vol. 1"
"776","Alfazema"
"777","Sea"
"778","Romperayo"
"779","Duas de Cinco"
"780","Crashes In Love (1977 Version)"
"781","Amar la trama"
"782","BaianaSystem"
"783","Aquamosh"
"784","Bixiga 70 (2011)"
"785","Metá Metá"
"786","Frontera"
"787","Afropop 2022"
"788","Afrodance 2022"
"789","Volume I"
"790","Comet Series, Vol. 1 (Crazy Afrobeat)"
"791","12 segundos de oscuridad"
"792","Africa Rising Vol.2"
"793","Best Afrobeat Tunes"
"794","Afrobeats 2022"
"795","Repeat After Me"
"796","Best Afropop Tunes"
"797","Thank You Lord"
"798","Talking Timbuktu (with Ry Cooder)"
"799","Maldito Carnaval"
"800","Tigrada"
"801","Morbo y Mambo"
"802","Juan Manuel"
"803","There's Music In The Air"
"804","Été jazz"
"805","Transubhiriano Americano"
"806","La Misa Negra"
"807","JAJAJA"
"808","Fuiste un Trozo de Hielo en la Escarcha"
"809","Cara B"
"810","Curiche"
"811","Newen Afrobeat"
"812","Parrilladas Vargas (Vol. II)"
"813","ATO 3: América do Sol"
"814","Llueve"
"815","Freestyle de Ritmos"
"816","El Paradise (Extended)"
"817","The Budos Band II"
"818","Made for Pleasure"
"819","The New Sound of the Venezuelan Gozadera"
"820","Grateful"
"821","Shout to the Lord"
"822","Desire"
"823","Ethiopiques, Vol. 4: Ethio Jazz 1969-1974"
"824","The Vibe"
"825","O Caçador e a Flecha"
"826","Vivão"
"827","YOU"
"828","Belongs to You (EDM Remix)"
"829","Vida"
"830","Codo Con Codo"
"831","12 Rounds (feat. Happi)"
"832","GRACE"
"833","A Espetacular Charanga do França"
"834","Echo en Mexico"
"835","Hit the Floor"
"836","Ori"
"837","Ditados Populares Dançantes"
"838","Dame el Mambo"
"839","Abra Sua Cabeça"
"840","Burnt Offering"
"841","Kumama Papa (Tiktok refix version)"
"842","Cymande"
"843","Make the Road By Walking"
"844","It's Only Us"
"845","Segura"
"846","Tomorrow"
"847","Stand up"
"848","SHE"
"849","Vaivén"
"850","QUITAPENAS"
"851","Noches de Morbo Vol. 1"
"852","The Red Hill"
"853","Hijo de Tigre"
"854","The Best of the Black President"
"855","Promised Heights"
"856","Blsd (Deluxe)"
"857","Arepa 3000"
"858","The Killion Floor"
"859","Una cancion me trajo hasta aqui"
"860","Misa de Medianoche"
"861","Sonidos Gold"
"862","Afrorumba Chilenera"
"863","Satingarona, Vol. 1"
"864","Feitiço"
"865","Mi Último Fracaso"
"866","Atomic Bomb"
"867","My Groove Your Move (Bonus Version)"
"868","We Are One"
"869","The Deplar Effect"
"870","Volume II"
"871","Saci (Remix)"
"872","Entren Los Que Quieran"
"873","Hard Up (Deluxe Version)"
"874","Maasai (Doctor Flake Remix)"
"875","World Psychedelic Classics 5: Who Is William Onyeabor?"
"876","There's a New Day Coming / Tommy Don't"
"877","Hard Talk"
"878","Manu Dibango Anthology"
"879","Keep Walking"
"880","Na Gafieira"
"881","Chances"
"882","Des Promesses"
"883","Le king m'a validé"
"884","Practice What You Preach"
"885","New York - Addis - London: The Story of Ethio Jazz 1965-1975"
"886","Timoneki"
"887","Muta"
"888","On te l'avait dit"
"889","Adiós Batata (Cerrero Dub Mix)"
"890","The Best of the Tru Thoughts Years"
"891","Ikebe Shakedown"
"892","We Mauve"
"893","Thunder Chicken"
"894","Discern / Define"
"895","Satingarona, Pt. 2"
"896","Water No Get Enemy"
"897","Mandrill Is"
"898","Obmjazz (Ao Vivo Na Casa De Francisca)"
"899","Palenque Palenque: Champeta Criolla & Afro Roots in Colombia 1975-91"
"900","Le monde de demain (Bande originale de la série)"
"901","Okay"
"902","The Very Best Of"
"903","Yawa Dey"
"904","The Beast / Road Song"
"905","Wisdom Seeker"
"906","I Do It"
"907","Horizon Unlimited"
"908","In the Heart of the Moon"
"909","Homenage"
"910","Silencio"
"911","Adará"
"912","Happy"
"913","A Nave de Odé"
"914","Influence of Worship"
"915","Composite Truth"
"916","Preto Sem Açúcar"
"917","The Crossing"
"918","Vox Machina, Vol. 1"
"919","Gringo"
"920","Nó na Orelha (Instrumental)"
"921","CHURCH GIRLS LOVE R&B"
"922","Sounding Out the City"
"923","Maleducao"
"924","All U Need Is Mosh"
"925","Malik"
"926","Hôtel Costes 2 - La Suite"
"927","Passeando em Mim"
"928","Muhammed Ali in ""The Greatest"""
"929","Afrobeats Rap and Jesus"
"930","Batom"
"931","Pirates Choice"
"932","Joy in the Pain"
"933","Fill My Cup"
"934","Authentic"
"935","Mbila (João Selva Remix)"
"936","The Alchemist Manifesto"
"937","Rejoice"
"938","Que Tumba"
"939","Residente o Visitante"
"940","Pernas Voadoras"
"941","Blow My Mind"
"942","Le mariage forcé"
"943","Higher Life"
"944","Smoke"
"945","Inner Fire"
"946","Baile Bucanero"
"947","Collecion De Oro"
"948","Pastiche Nago"
"949","Sus primeras grabaciones 1992-1994 (La luz que sabe robar- Radar)"
"950","Ketan"
"951","Under Burning Skies"
"952","Dusk Till Dawn"
"953","The Budos Band III"
"954","Soul Jazz Records Presents Studio One Story"
"955","52 Weeks of Summer"
"956","Vibes"
"957","Love & Death"
"958","Pa'l Norte (Beauty Brain Remix)"
"959","Eco"
"960","Adult Themes"
"961","Ojah Awake"
"962","15 Years of West Coast Cool"
"963","Nigeria 70 - Lagos Jump"
"964","Sost"
"965","V"
"966","Amoureux"
"967","Brasil Novo"
"968","Never Leave Me"
"969","Afrobeat Makers (Tony Allen Rhythms Revisited)"
"970","Revoar"
"971","Original Joy"
"972","Na Terra das Primaveras"
"973","Tell Somebody Bout Jesus"
"974","Abre-Caminho"
"975","Greasin The Wheels"
"976","Unique's New Testament of Funk (The Definite Collection)"
"977","Otodi"
"978","Joyful Noise"
